
===== OVERALL  (warning episodes 733, baseline anchors 2898) =====
      cell | warn n  excl | base n  excl |   warn%   norm%  lift pp    rel
1%/ 30m |    720    13 |   2898     0 |   68.33   27.43    40.90  2.491
1%/ 60m |    720    13 |   2898     0 |   79.86   44.38    35.49    1.8
1%/120m |    719    14 |   2898     0 |   87.34   66.11    21.23  1.321
1%/240m |    715    18 |   2829    69 |   93.01   82.93    10.08  1.122
2%/ 30m |    720    13 |   2898     0 |   36.53    6.94    29.59  5.267
2%/ 60m |    720    13 |   2898     0 |   47.78   15.29    32.49  3.126
2%/120m |    719    14 |   2898     0 |   58.69   29.57    29.12  1.985
2%/240m |    715    18 |   2829    69 |   73.29   48.53    24.75   1.51
3%/ 30m |    720    13 |   2898     0 |   18.75    3.11    15.64  6.037
3%/ 60m |    720    13 |   2898     0 |   27.50    8.14    19.36  3.377
3%/120m |    719    14 |   2898     0 |   39.08   15.94    23.14  2.452
3%/240m |    715    18 |   2829    69 |   55.38   28.28    27.11  1.959
5%/ 30m |    720    13 |   2898     0 |    9.31    1.00     8.30  9.299
5%/ 60m |    720    13 |   2898     0 |   13.33    2.93    10.40  4.546
5%/120m |    719    14 |   2898     0 |   20.31    6.07    14.23  3.344
5%/240m |    715    18 |   2829    69 |   31.47   11.24    20.23    2.8

===== MAJORS  (warning episodes 94, baseline anchors 336) =====
      cell | warn n  excl | base n  excl |   warn%   norm%  lift pp    rel
1%/ 30m |     89     5 |    336     0 |   34.83    6.85    27.99  5.088
1%/ 60m |     89     5 |    336     0 |   50.56   13.69    36.87  3.693
1%/120m |     89     5 |    336     0 |   65.17   33.63    31.54  1.938
1%/240m |     89     5 |    328     8 |   86.52   59.15    27.37  1.463
2%/ 30m |     89     5 |    336     0 |   13.48    0.30    13.19 45.303
2%/ 60m |     89     5 |    336     0 |   14.61    2.98    11.63  4.908
2%/120m |     89     5 |    336     0 |   17.98    8.63     9.35  2.083
2%/240m |     89     5 |    328     8 |   37.08   21.65    15.43  1.713
3%/ 30m |     89     5 |    336     0 |    3.37    0.00     3.37   None
3%/ 60m |     89     5 |    336     0 |    3.37    1.79     1.59  1.888
3%/120m |     89     5 |    336     0 |    6.74    4.17     2.57  1.618
3%/240m |     89     5 |    328     8 |   17.98   10.98     7.00  1.638
5%/ 30m |     89     5 |    336     0 |    0.00    0.00     0.00   None
5%/ 60m |     89     5 |    336     0 |    0.00    0.00     0.00   None
5%/120m |     89     5 |    336     0 |    1.12    0.00     1.12   None
5%/240m |     89     5 |    328     8 |    2.25    1.22     1.03  1.843

===== NON_MAJORS  (warning episodes 639, baseline anchors 2562) =====
      cell | warn n  excl | base n  excl |   warn%   norm%  lift pp    rel
1%/ 30m |    631     8 |   2562     0 |   73.06   30.13    42.93  2.425
1%/ 60m |    631     8 |   2562     0 |   83.99   48.40    35.59  1.735
1%/120m |    630     9 |   2562     0 |   90.48   70.37    20.10  1.286
1%/240m |    626    13 |   2501    61 |   93.93   86.05     7.88  1.092
2%/ 30m |    631     8 |   2562     0 |   39.78    7.81    31.97  5.096
2%/ 60m |    631     8 |   2562     0 |   52.46   16.90    35.56  3.104
2%/120m |    630     9 |   2562     0 |   64.44   32.32    32.13  1.994
2%/240m |    626    13 |   2501    61 |   78.43   52.06    26.38  1.507
3%/ 30m |    631     8 |   2562     0 |   20.92    3.51    17.41  5.955
3%/ 60m |    631     8 |   2562     0 |   30.90    8.98    21.93  3.442
3%/120m |    630     9 |   2562     0 |   43.65   17.49    26.16  2.496
3%/240m |    626    13 |   2501    61 |   60.70   30.55    30.16  1.987
5%/ 30m |    631     8 |   2562     0 |   10.62    1.13     9.49  9.381
5%/ 60m |    631     8 |   2562     0 |   15.21    3.32    11.90  4.586
5%/120m |    630     9 |   2562     0 |   23.02    6.87    16.15   3.35
5%/240m |    626    13 |   2501    61 |   35.62   12.55    23.07  2.837
