
===== max_ELEVATED (episodes 700, baseline 2898) =====
      cell | warn n excl |   warn%   norm%  lift pp    rel
1%/ 30m |    687   13 |   67.39   27.43    39.96  2.457
1%/ 60m |    687   13 |   79.33   44.38    34.95  1.788
1%/120m |    686   14 |   87.03   66.11    20.91  1.316
1%/240m |    682   18 |   92.82   82.93     9.89  1.119
2%/ 30m |    687   13 |   35.81    6.94    28.87  5.163
2%/ 60m |    687   13 |   47.31   15.29    32.02  3.095
2%/120m |    686   14 |   58.31   29.57    28.74  1.972
2%/240m |    682   18 |   73.31   48.53    24.78  1.511
3%/ 30m |    687   13 |   17.47    3.11    14.36  5.624
3%/ 60m |    687   13 |   26.35    8.14    18.20  3.235
3%/120m |    686   14 |   38.19   15.94    22.25  2.396
3%/240m |    682   18 |   54.84   28.28    26.56  1.939
5%/ 30m |    687   13 |    8.44    1.00     7.44  8.437
5%/ 60m |    687   13 |   12.66    2.93     9.73  4.318
5%/120m |    686   14 |   19.39    6.07    13.31  3.192
5%/240m |    682   18 |   30.50   11.24    19.26  2.713

===== max_CASCADE_PRESSURE (episodes 33, baseline 2898) =====
      cell | warn n excl |   warn%   norm%  lift pp    rel
1%/ 30m |     33    0 |   87.88   27.43    60.45  3.203
1%/ 60m |     33    0 |   90.91   44.38    46.53  2.049
1%/120m |     33    0 |   93.94   66.11    27.82  1.421
1%/240m |     33    0 |   96.97   82.93    14.04  1.169
2%/ 30m |     33    0 |   51.52    6.94    44.58  7.427
2%/ 60m |     33    0 |   57.58   15.29    42.29  3.766
2%/120m |     33    0 |   66.67   29.57    37.09  2.254
2%/240m |     33    0 |   72.73   48.53    24.19  1.499
3%/ 30m |     33    0 |   45.45    3.11    42.35 14.636
3%/ 60m |     33    0 |   51.52    8.14    43.37  6.326
3%/120m |     33    0 |   57.58   15.94    41.63  3.612
3%/240m |     33    0 |   66.67   28.28    38.39  2.358
5%/ 30m |     33    0 |   27.27    1.00    26.27 27.254
5%/ 60m |     33    0 |   27.27    2.93    24.34  9.298
5%/120m |     33    0 |   39.39    6.07    33.32  6.487
5%/240m |     33    0 |   51.52   11.24    40.27  4.583
