
===== OVERALL  (warning episodes 700, baseline anchors 2898) =====
      cell | warn n  excl | base n  excl |   warn%   norm%  lift pp    rel
1%/ 30m |    699     1 |   2897     1 |   57.37   30.48    26.89  1.882
1%/ 60m |    695     5 |   2875    23 |   72.66   46.61    26.05  1.559
1%/120m |    694     6 |   2813    85 |   86.17   66.58    19.58  1.294
1%/240m |    679    21 |   2691   207 |   91.90   81.61    10.29  1.126
2%/ 30m |    699     1 |   2897     1 |   21.32    6.80    14.52  3.135
2%/ 60m |    695     5 |   2875    23 |   32.37   15.44    16.93  2.096
2%/120m |    694     6 |   2813    85 |   51.59   28.69    22.90  1.798
2%/240m |    679    21 |   2691   207 |   68.63   48.46    20.17  1.416
3%/ 30m |    699     1 |   2897     1 |    7.73    2.38     5.34  3.244
3%/ 60m |    695     5 |   2875    23 |   13.67    5.63     8.03  2.426
3%/120m |    694     6 |   2813    85 |   29.97   12.16    17.81  2.465
3%/240m |    679    21 |   2691   207 |   44.62   24.67    19.95  1.808
5%/ 30m |    699     1 |   2897     1 |    3.58    0.59     2.99  6.095
5%/ 60m |    695     5 |   2875    23 |    4.60    1.08     3.53   4.27
5%/120m |    694     6 |   2813    85 |    9.65    3.84     5.81  2.515
5%/240m |    679    21 |   2691   207 |   19.00    8.81    10.19  2.157

===== MAJORS  (warning episodes 88, baseline anchors 336) =====
      cell | warn n  excl | base n  excl |   warn%   norm%  lift pp    rel
1%/ 30m |     88     0 |    336     0 |   32.95    8.33    24.62  3.955
1%/ 60m |     87     1 |    332     4 |   43.68   16.57    27.11  2.637
1%/120m |     87     1 |    327     9 |   64.37   32.42    31.95  1.986
1%/240m |     82     6 |    312    24 |   71.95   54.17    17.78  1.328
2%/ 30m |     88     0 |    336     0 |    6.82    0.60     6.22 11.455
2%/ 60m |     87     1 |    332     4 |   10.34    4.22     6.13  2.453
2%/120m |     87     1 |    327     9 |   25.29    7.03    18.25  3.595
2%/240m |     82     6 |    312    24 |   29.27   16.03    13.24  1.826
3%/ 30m |     88     0 |    336     0 |    2.27    0.00     2.27   None
3%/ 60m |     87     1 |    332     4 |    3.45    0.90     2.54  3.816
3%/120m |     87     1 |    327     9 |   17.24    2.45    14.79  7.047
3%/240m |     82     6 |    312    24 |   18.29    5.77    12.52  3.171
5%/ 30m |     88     0 |    336     0 |    0.00    0.00     0.00   None
5%/ 60m |     87     1 |    332     4 |    0.00    0.00     0.00   None
5%/120m |     87     1 |    327     9 |    4.60    1.53     3.07  3.007
5%/240m |     82     6 |    312    24 |    8.54    2.56     5.97  3.329

===== NON_MAJORS  (warning episodes 612, baseline anchors 2562) =====
      cell | warn n  excl | base n  excl |   warn%   norm%  lift pp    rel
1%/ 30m |    611     1 |   2561     1 |   60.88   33.39    27.50  1.824
1%/ 60m |    608     4 |   2543    19 |   76.81   50.53    26.28   1.52
1%/120m |    607     5 |   2486    76 |   89.29   71.08    18.21  1.256
1%/240m |    597    15 |   2379   183 |   94.64   85.20     9.44  1.111
2%/ 30m |    611     1 |   2561     1 |   23.40    7.61    15.79  3.074
2%/ 60m |    608     4 |   2543    19 |   35.53   16.91    18.62  2.101
2%/120m |    607     5 |   2486    76 |   55.35   31.54    23.82  1.755
2%/240m |    597    15 |   2379   183 |   74.04   52.71    21.33  1.405
3%/ 30m |    611     1 |   2561     1 |    8.51    2.69     5.82  3.159
3%/ 60m |    608     4 |   2543    19 |   15.13    6.25     8.88   2.42
3%/120m |    607     5 |   2486    76 |   31.80   13.44    18.36  2.367
3%/240m |    597    15 |   2379   183 |   48.24   27.15    21.09  1.777
5%/ 30m |    611     1 |   2561     1 |    4.09    0.66     3.43  6.164
5%/ 60m |    608     4 |   2543    19 |    5.26    1.22     4.04  4.317
5%/120m |    607     5 |   2486    76 |   10.38    4.14     6.24  2.505
5%/240m |    597    15 |   2379   183 |   20.44    9.63    10.81  2.123
