
===== max_ELEVATED (episodes 669, baseline 2898) =====
      cell | warn n excl |   warn%   norm%  lift pp    rel
1%/ 30m |    668    1 |   56.89   30.48    26.41  1.866
1%/ 60m |    664    5 |   72.59   46.61    25.98  1.557
1%/120m |    663    6 |   86.12   66.58    19.54  1.293
1%/240m |    649   20 |   91.99   81.61    10.38  1.127
2%/ 30m |    668    1 |   20.66    6.80    13.86  3.038
2%/ 60m |    664    5 |   31.78   15.44    16.33  2.058
2%/120m |    663    6 |   51.28   28.69    22.59  1.788
2%/240m |    649   20 |   68.57   48.46    20.11  1.415
3%/ 30m |    668    1 |    7.04    2.38     4.65  2.954
3%/ 60m |    664    5 |   13.10    5.63     7.47  2.325
3%/120m |    663    6 |   30.02   12.16    17.86  2.469
3%/240m |    649   20 |   44.07   24.67    19.39  1.786
5%/ 30m |    668    1 |    3.29    0.59     2.71  5.612
5%/ 60m |    664    5 |    4.37    1.08     3.29   4.05
5%/120m |    663    6 |    9.35    3.84     5.51  2.436
5%/240m |    649   20 |   18.95    8.81    10.15  2.152

===== max_CASCADE_PRESSURE (episodes 31, baseline 2898) =====
      cell | warn n excl |   warn%   norm%  lift pp    rel
1%/ 30m |     31    0 |   67.74   30.48    37.26  2.223
1%/ 60m |     31    0 |   74.19   46.61    27.58  1.592
1%/120m |     31    0 |   87.10   66.58    20.51  1.308
1%/240m |     30    1 |   90.00   81.61     8.39  1.103
2%/ 30m |     31    0 |   35.48    6.80    28.68  5.218
2%/ 60m |     31    0 |   45.16   15.44    29.72  2.924
2%/120m |     31    0 |   58.06   28.69    29.38  2.024
2%/240m |     30    1 |   70.00   48.46    21.54  1.445
3%/ 30m |     31    0 |   22.58    2.38    20.20  9.481
3%/ 60m |     31    0 |   25.81    5.63    20.17   4.58
3%/120m |     31    0 |   29.03   12.16    16.87  2.388
3%/240m |     30    1 |   56.67   24.67    31.99  2.297
5%/ 30m |     31    0 |    9.68    0.59     9.09 16.491
5%/ 60m |     31    0 |    9.68    1.08     8.60  8.975
5%/120m |     31    0 |   16.13    3.84    12.29  4.201
5%/240m |     30    1 |   20.00    8.81    11.19  2.271
